area,lat,long
0,41.05,-73.65
1,41.05,-73.55
2,41.05,-73.45
3,41.05,-73.35
4,41.05,-73.25
5,41.05,-73.15
6,41.05,-73.05
7,41.05,-72.95
8,41.05,-72.85
9,41.05,-72.75
10,41.05,-72.65
11,41.05,-72.55
12,41.05,-72.45
13,41.05,-72.35
14,41.05,-72.25
15,41.05,-72.15
16,41.05,-72.05
17,41.05,-71.95
18,41.05,-71.85
19,41.15,-73.65
20,41.15,-73.55
21,41.15,-73.45
22,41.15,-73.35
23,41.15,-73.25
24,41.15,-73.15
25,41.15,-73.05
26,41.15,-72.95
27,41.15,-72.85
28,41.15,-72.75
29,41.15,-72.65
30,41.15,-72.55
31,41.15,-72.45
32,41.15,-72.35
33,41.15,-72.25
34,41.15,-72.15
35,41.15,-72.05
36,41.15,-71.95
37,41.15,-71.85
38,41.25,-73.65
39,41.25,-73.55
40,41.25,-73.45
41,41.25,-73.35
42,41.25,-73.25
43,41.25,-73.15
44,41.25,-73.05
45,41.25,-72.95
46,41.25,-72.85
47,41.25,-72.75
48,41.25,-72.65
49,41.25,-72.55
50,41.25,-72.45
51,41.25,-72.35
52,41.25,-72.25
53,41.25,-72.15
54,41.25,-72.05
55,41.25,-71.95
56,41.25,-71.85
57,41.35,-73.65
58,41.35,-73.55
59,41.35,-73.45
60,41.35,-73.35
61,41.35,-73.25
62,41.35,-73.15
63,41.35,-73.05
64,41.35,-72.95
65,41.35,-72.85
66,41.35,-72.75
67,41.35,-72.65
68,41.35,-72.55
69,41.35,-72.45
70,41.35,-72.35
71,41.35,-72.25
72,41.35,-72.15
73,41.35,-72.05
74,41.35,-71.95
75,41.35,-71.85
76,41.45,-73.65
77,41.45,-73.55
78,41.45,-73.45
79,41.45,-73.35
80,41.45,-73.25
81,41.45,-73.15
82,41.45,-73.05
83,41.45,-72.95
84,41.45,-72.85
85,41.45,-72.75
86,41.45,-72.65
87,41.45,-72.55
88,41.45,-72.45
89,41.45,-72.35
90,41.45,-72.25
91,41.45,-72.15
92,41.45,-72.05
93,41.45,-71.95
94,41.45,-71.85
95,41.55,-73.65
96,41.55,-73.55
97,41.55,-73.45
98,41.55,-73.35
99,41.55,-73.25
100,41.55,-73.15
101,41.55,-73.05
102,41.55,-72.95
103,41.55,-72.85
104,41.55,-72.75
105,41.55,-72.65
106,41.55,-72.55
107,41.55,-72.45
108,41.55,-72.35
109,41.55,-72.25
110,41.55,-72.15
111,41.55,-72.05
112,41.55,-71.95
113,41.55,-71.85
114,41.65,-73.65
115,41.65,-73.55
116,41.65,-73.45
117,41.65,-73.35
118,41.65,-73.25
119,41.65,-73.15
120,41.65,-73.05
121,41.65,-72.95
122,41.65,-72.85
123,41.65,-72.75
124,41.65,-72.65
125,41.65,-72.55
126,41.65,-72.45
127,41.65,-72.35
128,41.65,-72.25
129,41.65,-72.15
130,41.65,-72.05
131,41.65,-71.95
132,41.65,-71.85
133,41.75,-73.65
134,41.75,-73.55
135,41.75,-73.45
136,41.75,-73.35
137,41.75,-73.25
138,41.75,-73.15
139,41.75,-73.05
140,41.75,-72.95
141,41.75,-72.85
142,41.75,-72.75
143,41.75,-72.65
144,41.75,-72.55
145,41.75,-72.45
146,41.75,-72.35
147,41.75,-72.25
148,41.75,-72.15
149,41.75,-72.05
150,41.75,-71.95
151,41.75,-71.85
152,41.85,-73.65
153,41.85,-73.55
154,41.85,-73.45
155,41.85,-73.35
156,41.85,-73.25
157,41.85,-73.15
158,41.85,-73.05
159,41.85,-72.95
160,41.85,-72.85
161,41.85,-72.75
162,41.85,-72.65
163,41.85,-72.55
164,41.85,-72.45
165,41.85,-72.35
166,41.85,-72.25
167,41.85,-72.15
168,41.85,-72.05
169,41.85,-71.95
170,41.85,-71.85
171,41.95,-73.65
172,41.95,-73.55
173,41.95,-73.45
174,41.95,-73.35
175,41.95,-73.25
176,41.95,-73.15
177,41.95,-73.05
178,41.95,-72.95
179,41.95,-72.85
180,41.95,-72.75
181,41.95,-72.65
182,41.95,-72.55
183,41.95,-72.45
184,41.95,-72.35
185,41.95,-72.25
186,41.95,-72.15
187,41.95,-72.05
188,41.95,-71.95
189,41.95,-71.85
190,42.05,-73.65
191,42.05,-73.55
192,42.05,-73.45
193,42.05,-73.35
194,42.05,-73.25
195,42.05,-73.15
196,42.05,-73.05
197,42.05,-72.95
198,42.05,-72.85
199,42.05,-72.75
200,42.05,-72.65
201,42.05,-72.55
202,42.05,-72.45
203,42.05,-72.35
204,42.05,-72.25
205,42.05,-72.15
206,42.05,-72.05
207,42.05,-71.95
208,42.05,-71.85
